model,ch,seed,fold,acc_A,f1_A,acc_B,f1_B
M03,62ch,7,4,0.5437125748502994,0.5361665480715118,0.5437125748502994,0.5361665480715118
M03,62ch,7,5,0.4411177644710579,0.39289130619532436,0.4411177644710579,0.39289130619532436
M03,62ch,7,6,0.41397205588822356,0.40797001131392274,0.41397205588822356,0.40797001131392274
M03,62ch,7,7,0.7385229540918163,0.7318150476094955,0.7385229540918163,0.7318150476094955
M03,62ch,7,8,0.48223552894211574,0.4761918081120142,0.48223552894211574,0.4761918081120142
M03,62ch,7,9,0.4339321357285429,0.4438452800820671,0.4339321357285429,0.4438452800820671
M03,62ch,7,10,0.49181636726546907,0.48348340775083104,0.49181636726546907,0.48348340775083104
M03,62ch,7,11,0.3500998003992016,0.33562821977029567,0.3500998003992016,0.33562821977029567
M03,62ch,7,12,0.4562874251497006,0.4555311246292162,0.4562874251497006,0.4555311246292162
M03,62ch,7,13,0.40119760479041916,0.3976056276557275,0.40119760479041916,0.3976056276557275
M03,62ch,7,14,0.5013972055888224,0.4989930896745447,0.5013972055888224,0.4989930896745447
M03,62ch,7,15,0.555688622754491,0.5547963656524059,0.555688622754491,0.5547963656524059
M03,62ch,21,1,0.4347305389221557,0.4385317353677233,0.4347305389221557,0.4385317353677233
M03,62ch,21,2,0.6171656686626746,0.6203618829926425,0.6171656686626746,0.6203618829926425
M03,62ch,21,3,0.41916167664670656,0.4222603781839926,0.41916167664670656,0.4222603781839926
M03,62ch,21,4,0.5437125748502994,0.5361665480715118,0.5437125748502994,0.5361665480715118
M03,62ch,21,5,0.4411177644710579,0.39289130619532436,0.4411177644710579,0.39289130619532436
M03,62ch,21,6,0.41397205588822356,0.40797001131392274,0.41397205588822356,0.40797001131392274
M03,62ch,21,7,0.7385229540918163,0.7318150476094955,0.7385229540918163,0.7318150476094955
M03,62ch,21,8,0.48223552894211574,0.4761918081120142,0.48223552894211574,0.4761918081120142
M03,62ch,21,9,0.4339321357285429,0.4438452800820671,0.4339321357285429,0.4438452800820671
M03,62ch,21,10,0.49181636726546907,0.48348340775083104,0.49181636726546907,0.48348340775083104
M03,62ch,21,11,0.3500998003992016,0.33562821977029567,0.3500998003992016,0.33562821977029567
M03,62ch,21,12,0.4562874251497006,0.4555311246292162,0.4562874251497006,0.4555311246292162
M03,62ch,21,13,0.40119760479041916,0.3976056276557275,0.40119760479041916,0.3976056276557275
M03,62ch,21,14,0.5013972055888224,0.4989930896745447,0.5013972055888224,0.4989930896745447
M03,62ch,21,15,0.555688622754491,0.5547963656524059,0.555688622754491,0.5547963656524059
M03,6ch,1,1,0.4183632734530938,0.4060597976766744,0.4183632734530938,0.4060597976766744
M03,6ch,1,2,0.3013972055888224,0.26581392162572975,0.3013972055888224,0.26581392162572975
M03,6ch,1,3,0.2678642714570858,0.24564012608980634,0.2678642714570858,0.24564012608980634
M03,6ch,1,4,0.3321357285429142,0.32419818202914746,0.3321357285429142,0.32419818202914746
M03,6ch,1,5,0.2962075848303393,0.2731951339641599,0.2962075848303393,0.2731951339641599
M03,6ch,1,6,0.23672654690618763,0.23530195924158745,0.23672654690618763,0.23530195924158745
M03,6ch,1,7,0.5221556886227545,0.5280582812733852,0.5221556886227545,0.5280582812733852
M03,6ch,1,8,0.35768463073852297,0.34040344418461876,0.35768463073852297,0.34040344418461876
M03,6ch,1,9,0.48982035928143713,0.4192370303235109,0.48982035928143713,0.4192370303235109
M03,6ch,1,10,0.4119760479041916,0.40949122709988894,0.4119760479041916,0.40949122709988894
M03,6ch,1,11,0.3720558882235529,0.37648592565735284,0.3720558882235529,0.37648592565735284
M03,6ch,1,12,0.3089820359281437,0.27936152880750337,0.3089820359281437,0.27936152880750337
M03,6ch,1,13,0.3325349301397206,0.32737683469040574,0.3325349301397206,0.32737683469040574
M03,6ch,1,14,0.38882235528942116,0.38495649490224876,0.38882235528942116,0.38495649490224876
M03,6ch,1,15,0.38203592814371257,0.39000365745738585,0.38203592814371257,0.39000365745738585
M03,6ch,7,1,0.4183632734530938,0.4060597976766744,0.4183632734530938,0.4060597976766744
M03,6ch,7,2,0.3013972055888224,0.26581392162572975,0.3013972055888224,0.26581392162572975
M03,6ch,7,3,0.2678642714570858,0.24564012608980634,0.2678642714570858,0.24564012608980634
M03,6ch,7,4,0.3321357285429142,0.32419818202914746,0.3321357285429142,0.32419818202914746
M03,6ch,7,5,0.2962075848303393,0.2731951339641599,0.2962075848303393,0.2731951339641599
M03,6ch,7,6,0.23672654690618763,0.23530195924158745,0.23672654690618763,0.23530195924158745
M03,6ch,7,7,0.5221556886227545,0.5280582812733852,0.5221556886227545,0.5280582812733852
M03,6ch,7,8,0.35768463073852297,0.34040344418461876,0.35768463073852297,0.34040344418461876
M03,6ch,7,9,0.48982035928143713,0.4192370303235109,0.48982035928143713,0.4192370303235109
M03,6ch,7,10,0.4119760479041916,0.40949122709988894,0.4119760479041916,0.40949122709988894
M03,6ch,7,11,0.3720558882235529,0.37648592565735284,0.3720558882235529,0.37648592565735284
M03,6ch,7,12,0.3089820359281437,0.27936152880750337,0.3089820359281437,0.27936152880750337
