model,ch,seed,fold,acc_A,f1_A,acc_B,f1_B
M24,62ch,1,14,0.48263473053892214,0.4473373660616648,0.5054325955734407,0.48255818609886736
M24,6ch,1,14,0.4594810379241517,0.4474459948213654,0.4716297786720322,0.463093506065001
M21,62ch,1,15,0.5684630738522954,0.5550374049680818,0.5903420523138833,0.5807251977800438
M21,6ch,1,15,0.41916167664670656,0.4345916279383164,0.5074446680080483,0.5196081586811098
M23,62ch,1,15,0.4115768463073852,0.4124252211356069,0.4169014084507042,0.41732264060581054
M23,6ch,1,15,0.3313373253493014,0.3370162256262202,0.34004024144869216,0.34775414913807356
M24,62ch,1,15,0.5225548902195609,0.47368287128444053,0.5267605633802817,0.4747216631199607
M24,6ch,1,15,0.49021956087824353,0.46136665312006864,0.49859154929577465,0.47865332820861356
M21,62ch,7,1,0.4063872255489022,0.3856765378303608,0.4,0.38052936889075095
M21,6ch,7,1,0.4039920159680639,0.3953275224913316,0.40040241448692154,0.3956370631438385
M23,62ch,7,1,0.330938123752495,0.3080862221898324,0.3323943661971831,0.31014860784885323
M23,6ch,7,1,0.43832335329341315,0.41197963617612693,0.4358148893360161,0.4091888817776259
M24,62ch,7,1,0.3285429141716567,0.30465417075295426,0.3476861167002012,0.3301537596063507
M24,6ch,7,1,0.38283433133732536,0.34884636086445153,0.39114688128772634,0.36252898936699723
M21,62ch,7,2,0.46986027944111775,0.46895053014785454,0.4949698189134809,0.48540987993824947
M21,6ch,7,2,0.3269461077844311,0.3240430339210494,0.3464788732394366,0.33688362928325677
M23,62ch,7,2,0.36766467065868264,0.3603397351306844,0.35975855130784706,0.35061365356798924
M23,6ch,7,2,0.34770459081836325,0.3283084355096035,0.3464788732394366,0.3269458648795829
M24,62ch,7,2,0.37564870259481037,0.3714403204599926,0.3782696177062374,0.37517527068026785
M24,6ch,7,2,0.4686626746506986,0.4343482484083139,0.42937625754527164,0.40119523955169234
M21,62ch,7,3,0.31696606786427145,0.2997536047862162,0.3448692152917505,0.3339705573772873
M21,6ch,7,3,0.34171656686626745,0.30695608095608096,0.3822937625754527,0.31246735475647724
M23,62ch,7,3,0.29261477045908185,0.2836337376773913,0.2925553319919517,0.2840633547155286
M23,6ch,7,3,0.3776447105788423,0.36495692264792773,0.3782696177062374,0.36559247315915255
M24,62ch,7,3,0.3213572854291417,0.32236152063276646,0.34245472837022134,0.3485269185838927
M24,6ch,7,3,0.3441117764471058,0.2970890560054577,0.3420523138832998,0.3022223456929159
M21,62ch,7,4,0.46506986027944114,0.4329959763582176,0.5162977867203219,0.4831502819105638
M21,6ch,7,4,0.46107784431137727,0.43802294690736154,0.4913480885311871,0.47406768761149287
M23,62ch,7,4,0.3992015968063872,0.37863678924355176,0.40603621730382294,0.38683947463380053
M23,6ch,7,4,0.4031936127744511,0.3847084034506783,0.4,0.38165718631681156
M24,62ch,7,4,0.4091816367265469,0.3897930106039186,0.4704225352112676,0.4461542181650787
M24,6ch,7,4,0.34770459081836325,0.3246373952202143,0.3561368209255533,0.336913726385452
M21,62ch,7,5,0.3405189620758483,0.3230163024487827,0.2913480885311871,0.25509845458404606
M21,6ch,7,5,0.35728542914171657,0.30433861825246744,0.35492957746478876,0.3039448895712759
M23,62ch,7,5,0.3033932135728543,0.23719715760126783,0.29577464788732394,0.23648573316058097
M23,6ch,7,5,0.3784431137724551,0.3610848248339683,0.3959758551307847,0.3808004860663805
M24,62ch,7,5,0.3912175648702595,0.3403372677412103,0.4044265593561368,0.36197307849989463
M24,6ch,7,5,0.33612774451097804,0.3131861690299667,0.3235412474849095,0.3000351937869431
M21,62ch,7,6,0.269061876247505,0.2609866003058229,0.27565392354124746,0.26617393271354495
M21,6ch,7,6,0.2822355289421158,0.29881608590921627,0.3553319919517103,0.3711625285754842
M23,62ch,7,6,0.3720558882235529,0.3683465684839763,0.37424547283702214,0.37054925097574865
