context,match,path
"866666666667,0.3709777777777777,0.9119713308641164,deep,nan M17,EEG Conformer,0.4594244444444444,0.3608466666666667,0.78543",M17,results/final_tables/table_5_6_channel_efficiency.csv
"244444444444,0.3608466666666667,0.7854320139691693,deep,nan M18,ChanDrop Transformer,0.4314933333333333,0.3976933333333334,",M18,results/final_tables/table_5_6_channel_efficiency.csv
"933333333333,0.3976933333333334,0.9216673876769051,deep,nan M19,DANN,0.6618955555555556,0.5903822222222223,0.89195677062174",M19,results/final_tables/table_5_6_channel_efficiency.csv
"511111111113,0.6199222222222223,0.9115818092104186,deep,nan M21,SimCLR,0.5745466666666666,0.60196,1.047712979508482,deep,na",M21,results/final_tables/table_5_6_channel_efficiency.csv
"222222222223,0.6124333333333334,1.0057661076948343,deep,nan M23,PseudoLabel,0.6574111111111112,0.6101888888888888,0.9281694",M23,results/final_tables/table_5_6_channel_efficiency.csv
"111111111112,0.6101888888888888,0.9281694187638376,deep,nan M24,MixMatch,0.5350044444444444,0.3642288888888889,0.6807960058",M24,results/final_tables/table_5_6_channel_efficiency.csv
"model_id,name,ch,source,f1_neutral,f1_sad,f1_fear,f1_happy M01,LDA,62ch,classical_summary,0.4633,0.3976,0.3581,0.3998 M01,",M01,results/final_tables/table_5_7_per_class_top_models.csv
" M01,LDA,62ch,classical_summary,0.4633,0.3976,0.3581,0.3998 M01,LDA,6ch,classical_summary,0.5123,0.4218,0.3288,0.4752 M02,S",M01,results/final_tables/table_5_7_per_class_top_models.csv
"8 M01,LDA,6ch,classical_summary,0.5123,0.4218,0.3288,0.4752 M02,SVM (RBF),62ch,classical_summary,0.5617,0.4841,0.3907,0.468",M02,results/final_tables/table_5_7_per_class_top_models.csv
"VM (RBF),62ch,classical_summary,0.5617,0.4841,0.3907,0.4687 M02,SVM (RBF),6ch,classical_summary,0.389,0.3598,0.2689,0.3904 ",M02,results/final_tables/table_5_7_per_class_top_models.csv
",SVM (RBF),6ch,classical_summary,0.389,0.3598,0.2689,0.3904 M03,Random Forest,62ch,classical_summary,0.4715,0.485,0.4186,0.",M03,results/final_tables/table_5_7_per_class_top_models.csv
"dom Forest,62ch,classical_summary,0.4715,0.485,0.4186,0.484 M03,Random Forest,6ch,classical_summary,0.4445,0.4272,0.3388,0.",M03,results/final_tables/table_5_7_per_class_top_models.csv
"om Forest,6ch,classical_summary,0.4445,0.4272,0.3388,0.4051 M04,k-NN,62ch,classical_summary,0.3009,0.3728,0.3383,0.351 M04,",M04,results/final_tables/table_5_7_per_class_top_models.csv
" M04,k-NN,62ch,classical_summary,0.3009,0.3728,0.3383,0.351 M04,k-NN,6ch,classical_summary,0.2962,0.3028,0.2924,0.3247 M05,",M04,results/final_tables/table_5_7_per_class_top_models.csv
" M04,k-NN,6ch,classical_summary,0.2962,0.3028,0.2924,0.3247 M05,Logistic Regression,62ch,classical_summary,0.4627,0.4405,0.",M05,results/final_tables/table_5_7_per_class_top_models.csv
"gression,62ch,classical_summary,0.4627,0.4405,0.3698,0.3861 M05,Logistic Regression,6ch,classical_summary,0.4842,0.416,0.33",M05,results/final_tables/table_5_7_per_class_top_models.csv
"Regression,6ch,classical_summary,0.4842,0.416,0.3322,0.4706 M06,Naive Bayes,62ch,classical_summary,0.4173,0.2294,0.4348,0.4",M06,results/final_tables/table_5_7_per_class_top_models.csv
"ve Bayes,62ch,classical_summary,0.4173,0.2294,0.4348,0.4349 M06,Naive Bayes,6ch,classical_summary,0.4114,0.3232,0.3037,0.46",M06,results/final_tables/table_5_7_per_class_top_models.csv
"ive Bayes,6ch,classical_summary,0.4114,0.3232,0.3037,0.4653 M07,Extra Trees,62ch,classical_summary,0.4929,0.4926,0.4161,0.4",M07,results/final_tables/table_5_7_per_class_top_models.csv
"ra Trees,62ch,classical_summary,0.4929,0.4926,0.4161,0.4851 M07,Extra Trees,6ch,classical_summary,0.4338,0.444,0.337,0.4155",M07,results/final_tables/table_5_7_per_class_top_models.csv
"Extra Trees,6ch,classical_summary,0.4338,0.444,0.337,0.4155 M08,Gradient Boosting,62ch,classical_summary,0.5073,0.508,0.414",M08,results/final_tables/table_5_7_per_class_top_models.csv
" Boosting,62ch,classical_summary,0.5073,0.508,0.4142,0.4767 M08,Gradient Boosting,6ch,classical_summary,0.4537,0.4134,0.378",M08,results/final_tables/table_5_7_per_class_top_models.csv
"t,XGBoost,6ch,classical_summary,0.4527,0.3969,0.3711,0.4149 M10,MLP (sklearn),62ch,classical_summary,0.5406,0.4823,0.3949,0",M10,results/final_tables/table_5_7_per_class_top_models.csv
"sklearn),62ch,classical_summary,0.5406,0.4823,0.3949,0.4983 M10,MLP (sklearn),6ch,classical_summary,0.4173,0.4142,0.3313,0.",M10,results/final_tables/table_5_7_per_class_top_models.csv
"s table_5_1,classical_ml_summary.csv,primary,True table_5_2,M11-M24 per-model CSVs + master,primary+audit,True table_5_3,M2",M11,results/final_tables/table_audit_sources.csv
"ble_5_1,classical_ml_summary.csv,primary,True table_5_2,M11-M24 per-model CSVs + master,primary+audit,True table_5_3,M25_62",M24,results/final_tables/table_audit_sources.csv
- | --- | --- | --- | --- | --- | --- | --- | --- | --- | | M01 | LDA | 62ch | 0.4047 | 0.1063 | 0.4081 | 0.1074 | 0.4633 |,M01,results/reproduced_tables/reproduced_tables_all.md
1 | 0.1074 | 0.4633 | 0.3976 | 0.3581 | 0.3998 | 45.000 | | M01 | LDA | 6ch | 0.4345 | 0.1095 | 0.4408 | 0.1078 | 0.5123 | ,M01,results/reproduced_tables/reproduced_tables_all.md
8 | 0.1078 | 0.5123 | 0.4218 | 0.3288 | 0.4752 | 45.000 | | M02 | SVM (RBF) | 62ch | 0.4763 | 0.0959 | 0.4811 | 0.0961 | 0.,M02,results/reproduced_tables/reproduced_tables_all.md
1 | 0.0961 | 0.5617 | 0.4841 | 0.3907 | 0.4687 | 45.000 | | M02 | SVM (RBF) | 6ch | 0.3520 | 0.0718 | 0.3653 | 0.0722 | 0.3,M02,results/reproduced_tables/reproduced_tables_all.md
3 | 0.0722 | 0.3890 | 0.3598 | 0.2689 | 0.3904 | 45.000 | | M03 | Random Forest | 62ch | 0.4648 | 0.1310 | 0.4702 | 0.1275 ,M03,results/reproduced_tables/reproduced_tables_all.md
2 | 0.1275 | 0.4715 | 0.4850 | 0.4186 | 0.4840 | 45.000 | | M03 | Random Forest | 6ch | 0.4039 | 0.1016 | 0.4140 | 0.0978 |,M03,results/reproduced_tables/reproduced_tables_all.md
0 | 0.0978 | 0.4445 | 0.4272 | 0.3388 | 0.4051 | 45.000 | | M04 | k-NN | 62ch | 0.3408 | 0.0601 | 0.3487 | 0.0582 | 0.3009 ,M04,results/reproduced_tables/reproduced_tables_all.md
7 | 0.0582 | 0.3009 | 0.3728 | 0.3383 | 0.3510 | 45.000 | | M04 | k-NN | 6ch | 0.3040 | 0.0475 | 0.3061 | 0.0483 | 0.2962 |,M04,results/reproduced_tables/reproduced_tables_all.md
1 | 0.0483 | 0.2962 | 0.3028 | 0.2924 | 0.3247 | 45.000 | | M05 | Logistic Regression | 62ch | 0.4148 | 0.1150 | 0.4233 | 0,M05,results/reproduced_tables/reproduced_tables_all.md
