model,ch,seed,fold,acc_A,f1_A,acc_B,f1_B
M15,62ch,7,10,0.4491017964071856,0.4454174850106103,0.4189134808853119,0.4089929911346243
M15,6ch,7,10,0.405189620758483,0.3969519500908853,0.3476861167002012,0.3468852476837498
M16,62ch,7,10,0.3648702594810379,0.36695400665725814,0.39758551307847084,0.4013608439384012
M16,6ch,7,10,0.456686626746507,0.4579415506469626,0.42092555331991954,0.41474942772885387
M17,62ch,7,10,0.4662674650698603,0.4695747023296586,0.4635814889336016,0.4567424941735626
M17,6ch,7,10,0.42634730538922155,0.406808099801054,0.462374245472837,0.44390182105978127
M18,62ch,7,10,0.4546906187624751,0.45278152772835234,0.4591549295774648,0.45900219062289416
M18,6ch,7,10,0.3189620758483034,0.28743752664484773,0.32877263581488936,0.3037799881021528
M19,62ch,7,10,0.5564870259481038,0.5528707180230219,0.537625754527163,0.5220830130128731
M19,6ch,7,10,0.4802395209580838,0.46110836591230797,0.5235412474849095,0.5196472891327241
M20,62ch,7,10,0.33612774451097804,0.3334542858310116,0.358953722334004,0.3580631188427492
M20,6ch,7,10,0.3025948103792415,0.27070550418235967,0.30824949698189136,0.27491613905127216
M11,62ch,7,11,0.2898203592814371,0.2897285213645459,0.28450704225352114,0.2845088659521425
M11,6ch,7,11,0.3413173652694611,0.3366952607983792,0.35412474849094566,0.35009229441632594
M12,62ch,7,11,0.48343313373253494,0.4673329529165167,0.42696177062374246,0.4234545350914235
M12,6ch,7,11,0.27065868263473053,0.2599980359125981,0.23943661971830985,0.22023242529427728
M13,62ch,7,11,0.41996007984031936,0.4115208723835849,0.4080482897384306,0.4003470676842091
M13,6ch,7,11,0.2339321357285429,0.2270488240913486,0.2470824949698189,0.24703938910145518
M14,62ch,7,11,0.35409181636726544,0.33761683300437817,0.3533199195171026,0.3421518527670703
M14,6ch,7,11,0.3321357285429142,0.329101166805446,0.352112676056338,0.3495828217071274
M15,62ch,7,11,0.40479041916167663,0.35827379168937296,0.3158953722334004,0.3116566556105111
M15,6ch,7,11,0.39441117764471056,0.37912270951913934,0.3843058350100604,0.3726080778342144
